AirCarrierName;AirCarrierCode
AB Aerolinea S.A d C.V;4O
ABS  Aerolinha Brasileira S.A;M3
AB Air Inc;GB
AC Havayollar A.S;9T
AEROFLOT-NOR;5N
AH Ai Hon Kon Limite;LD
AN  J Expres Co lt;9N
AVIACSA-Consorci Aviaxsa S.A d C.V;6A
AVIATECA S.A;GU
Adri Airway  Th Airlin o Sloveni;JP
Aegea Airline S.A;A3
Aek Kula Inc DB Aloh Ai Carg;KH
Ae Aran Expres;RE
Ae Lingu Limite;EI
Aer 200 S.A;4M
Aer Airline A.S;EE
Aer Contractor Nigeri Limite;AJ
Aer Expres de Ecuado  Tran A;7T
Aer Mongoli;M0
Aer Regiona Paraguay S.A;P7
Aer Republic S.A;P5
Aerocaribbea S.A;7L
Aerocomercia Orient Nort Ltd;A4
Aeroflo  Carg;SU
Aeroflo Russia Airline;SU
Aeroflot-Do;D9
Aerogaviot S.A;KG
Aeroline Principa Chil S.A;5P
Aerolinea Argentina;AR
Aerolinea Austra Chil S.A;3I
Aerolinea Galapago S.A Aeroga;2K
Aerolinea Regionales S.A d C.;F2
Aerolinea d Baleare AeBa;DF
Aerolitora S.A d C.V;5D
Aeromexic;AM
Aeroperla;WL
Aeroposta Ala d Venezuel C.A;VH
Aerosu Paragua S.A;PQ
Aerosvi Airline;VV
Aerosyncr Aviatio A;6I
Aerotransport d Carg Union S.A d ;6R
Aerotransporte Ma d Carg;M7
Aerovia Carib S.A d C.V;QA
Aerovia de Continent American S.;AV
Afric Wes;FK
Afriqiya Airway;8U
Aigl Azu;ZI
Ai Algeri;AH
Ai Almat JS;K7
Ai Arabi;G9
Ai Armeni;QN
Ai Astan;KC
Ai Atlant Icelandi;CC
Ai Austra;UU
Ai Baga Ltd;W9
Ai Balti Corporatio SI;BT
Ai Bashkortosta Ltd;ZU
Ai Be S.p.;BM
Ai Bissa Internationa Ld;YL
Ai Botswan Corporatio;BP
Ai Busa;BX
Ai Caledoni;TY
Ai Caledoni Internationa;SB
Ai Canad;AC
Ai Canad Jaz;QK
Ai Caraibe;TX
Ai Carg Carriers Inc;2Q
Ai Chin Carg;CA
Ai Come S.A;A7
Ai Compan ITEK-AI Ltd;GI
Ai Compan Somo Ai;4J
Ai Continenta Afric;TI
Ai Contractor (UK Limite;AG
Ai Creebe (1994 Inc;YN
Ai Dolomit S.p.A;EN
Ai Dominican S.A;6D
Ai Ecuado Airec S.A;N5
Ai Europ Linea Aereas S.A;UX
Ai Fij Ltd;PC
Ai Finlan Ltd;OF
Ai Franc;AF
Ai G Airline S.A;4A
Ai Greenlan A/;GL
Ai Icelan (Flugfela Islands;NY
Ai Indi Charter Limite;IX
Ai Inui Ltd/Lte;3H
Ai Ital S.p.A;I9
Ai Jamaic;JM
Ai Kory;JS
Ai Kurf;7F
Ai Line o Kuba;GW
Ai Logistic L.L.C d/b/;L9
Ai Maca Compan Limite;NX
Ai Madagasca;MD
Ai Malaw Limite;QM
Ai Malt p.l.c;KM
Ai Marshal Islands Inc;CW
Ai Mascareigne Ltd;MV
Ai Mauritiu;MK
Ai Midwes;ZV
Ai Mobilit Comman;MC
Ai Moldov;9U
Ai Namibi;SW
Ai Nepa Internationa Pvt Ltd;XN
Ai Ne Zealan Limite;NZ
Ai Nex Co. Ltd;7A
Ai Nippo Co Ltd;EL
Ai Niugin Pt Limite;PX
Ai Nort Charte an Trainun Ltd;4N
Ai Nostru L.A.M.S.A;YW
Ai On;AP
Ai Pacifi Ltd;FJ
Ai Philippine Corporatio;2P
Ai Sain Pierr;PJ
Ai Senega Internationa;V7
Ai Seychelle Limite;HM
Ai Sina;4D
Ai Spee U;VP
Ai Sylhe A;SL
Ai Tahit;VT
Ai Tahit Nu;TN
Ai Tanzani Compan Ltd;TC
Ai Tind Ltd;8T
Ai Transa;TS
Ai Transpor Internationa Lt;8C
Ai Urg;3N
Ai Vanuat (Operations Limite;NF
Ai Vi Ltd;VL
Ai Wisconsi Airline Corporatio;ZW
Ai Zimbabw (Pvt Ltd;UM
AirBridgeCarg Airline Limite;RU
AirKeny Expres Limite;P2
AirTra Airways Inc;FL
Air Limite db Blu Island;SI
Airasi Sd Bhd;AK
Airasi  Sdn Bhd;D7
Airbu Transpor Internationa;4Y
Aircompan "Ese Air;K9
Aircompan "Kyrgyzstan;QH
